@relation 'Twitter Sentiment Analysis Sanders Dataset. More info at: http://sananalytics.com/lab/twitter-sentiment/'

@attribute content string
@attribute topic string
@attribute Class {positive,neutral,negative}

@data
'RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?',apple,negative
'@Late_Show I would have watched but the folks at @apple have a jihad against adobe flash. Plse consider a YouTube link in future on UR site',apple,neutral
'RT @Jewelz2611 @mashable @apple iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..',apple,negative
'@mashable @apple iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..',apple,negative
'THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE',apple,negative
'RT @rdingwell: .@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more its a disappointment #wtf',apple,neutral
'Hey @apple androids releasing brand new state of the art phones whens your new phone come out? What\'s that? (cont) http://t.co/2sko9l3d',apple,neutral
'Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is',apple,positive
'.@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more its a disappointment #wtf',apple,neutral
'@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5',apple,negative
'@apple needs to hurry up and release #iTunesMatch',apple,negative
'@Apple how fun wouldn\'t it be if it was possible to integrate  ( soon to be named ) with notifications?',apple,neutral
'Interesting read on war b/w @Apple &amp; @Samsung- http://t.co/Vt9d24Yi -using latter agree lack of innovation but better specs at same price!',apple,neutral
'Why is  #Siri always down @apple',apple,negative
'I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple',apple,negative
'@apple AirDrop #fail - Immediate &quot;declined your request.&quot; every time',apple,negative
'RT @adamnash: The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget',apple,neutral
'good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb',apple,negative
'The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget',apple,neutral
'Today\'s headline: @apple reports lower 4Q earnings. Headline in 3 months: @Apple reports record Q1 earnings.',apple,neutral
'Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/XVcch6Os #PampersHelloApps&quot;',apple,neutral
'@apple expanded the app store to more than 20 new countries in the december quarter',apple,neutral
'RT @radlerc: Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s',apple,negative
