@relation '6HumanCoded Dataset. Positive and negative scores correspond to the average judgement of at least 3 annotators. More info at: http://sentistrength.wlv.ac.uk/ '

@attribute content string
@attribute pos numeric
@attribute neg numeric

@data
'Listening to the New Age station on @SlackerRadio ? http://slacker.com/r/nqKf',3,1
'I favorited a YouTube video -- Drake and Josh - The Storm We will rock you http://youtu.be/v1Cib4kDPsI?a',1,1
'i didnt mean knee high I ment in lengt it goes down to my knees ^-^ and is so cute I love it!',4,2
'I wana see the vid Kyan',2,1
'if my mom went on for the love of ray J or any reality show i\'d bee pissed .',1,3
'Ok so I just got a deal for my own show For The Love Of Deez Nuts go to VH1/deezNuts to apply ....R u here for Deez Nuts???',1,1
'@Mrhilton1985 Welcome to Twitter xx',3,1
'@kjbmusic oh yeah... however  I\'d still like to be in the midst of it all though... u know...',2,1
'Can\'t say I like the new facebook layout. But just posted pics from my Super Bowl week. =)',2,2
'I need a nice tea-drinking pic for our #Tea Club Membership page - anyone got one they\'d be happy for me to use? http://bit.ly/b1PWLh',2,1
'@JonathanRKnight so twitpic it lol  I love Home Depot  love working w/my hands and building things  my dad was in construction',3,1
'@BarCough it\'s enough to make you sick  eh? there\'s nothing sacred anymore',1,3
'Hacienda is now level 80 time to get epic gear for her!!!! Oh and maybe some sleep would be good..',3,2
'DJ K-City presents Crank of America THE MIXTAPE. wanna be on it? DM me. http://twitpic.com/10tti2 PLS RT',1,1
'Iran  with its unity and God\'s grace  will punch the arrogance (West) 22nd of Bahman (Feb 11) in a way that will leave them stunned ',1,3
'@TiffyStarz wtf  where i come from noone likes metal and hardcore  like 5 of my mates max are fully into metal  it sucks  i love metalll :L',4,3
'www.moneyhackers.org Reasons why entrepreneurs to venture in Nursing Agencies | Best ...: Reasons why entrepreneur... http://bit.ly/bvgzLs',1,1
'#4WordsOnObamasHand Don\'t Say The N-Word',1,2
'City watchdog in chaos as chief executive Hector Sants resigns just months before general election',1,3
'RT @MangaUK: God it is a big news day today! By popular demand  Ah! My Goddess Season 2 will be released in 3 2-disc sets: May  Jul  Sep.',2,1
'Wow my sis said she gona get a tramp stamp tat LOL I told her it\'s to late for that ha ha evil laugh',2,2
'@russmarshalek Sold! Would love to be your crazyass big sis -- how could I say no?! Cannot believe I broke or minimally battered my toe --',3,2
'@zzramesses yes; hope to release that feature next month',2,1
'Phil Collins- You Can\'t Hurry Love',1,1
'i need money! i need new car!!! jesus...somebody please buy my old car :DDD',2,3
'In ny wif @DJWALLAH and the Heavy Hitter crew... shout to @freddyphh for looking real gay in the camera...lol...',2,3
'RT @RockinGreenSoap: I Flip(in) Love @rockingreensoap! Follow them to win a free Flip Camera! RT Please! http://tinyurl.com/yffv2pg #clothdiapers',3,1
'@ShiedhaO well damn! Renee still aint playin  is she?! and neither is Jack!! @LikasParody',1,3
