% The NRC Affect Intensity Lexicon v0.5
% www.saifmohammad.com/WebPages/AffectIntensity.htm
% Contact: Saif M. Mohammad (saif.mohammad@nrc-cnrc.gc.ca)
%
% The NRC Affect Intensity Lexicon is a list of English words and their
% associations with four basic emotions (anger, fear, sadness, joy). 
%
% Words can be associated with different intensities (or degrees) of an emotion.
% For example, most people will agree that the word condemn is associated with a
% greater degree of anger (or more anger) than the word irritate. However,
% annotating instances for fine-grained degrees of affect is a substantially more
% difficult undertaking than categorical annotation: respondents are presented
% with greater cognitive load and it is particularly hard to ensure consistency
% (both across responses by different annotators and within the responses produced
% by the same annotator). Here, for the first time, we create an affect intensity
% lexicon with real-valued scores of association using best--worst scaling.
% 
% For a given word and emotion X, the scores range from 0 to 1. A score of 1 means
% that the word conveys the highest amount of emotion X.  A score of 0 means that
% the word conveys the lowest amount of emotion X.
% 
% Details of the lexicon are in this paper.
% Word Affect Intensities. Saif M. Mohammad. arXiv preprint arXiv, April 2017.
%
% The lexicon has close to 6,000 entries for four basic emotions: anger, fear,
% joy, and sadness. (We will soon be adding entries for four more emotions: trust,
% disgust, anticipation, and surprise. We will also be adding entries for valence,
% arousal, and dominance.)	It includes common English terms as well as terms
% that are more prominent in social media platforms, such as Twitter. It includes
% terms that are associated with emotions to various degrees. For a given emotion,
% this even includes some terms that may not predominantly convey that emotion (or
% that convey an antonymous emotion), and yet tend to co-occur with terms that do.
% (Antonymous terms tend to co-occur with each other more often than chance, and
% are particularly problematic when one uses automatic co-occurrence-based
% statistical methods to capture word--emotion connotations.)



@relation 'The NRC Affect Intensity Lexicon v0.5. More info at:www.saifmohammad.com/WebPages/AffectIntensity.htm'

@attribute term string
@attribute anger_Score numeric
@attribute fear_Score numeric
@attribute sadness_Score numeric
@attribute joy_Score numeric

@data
aaaaaaah,?,0.344,?,?
aaaah,?,0.234,?,?
abandon,?,0.531,0.703,?
abandoned,0.222,0.534,0.828,?
abandonment,0.438,0.609,0.859,?
abduction,?,0.7,0.75,?
abhor,0.816,0.547,?,?
abhorrent,0.875,0.672,?,?
abolish,0.485,?,?,?
abominable,?,0.738,?,?
abomination,0.844,0.844,?,?
abortion,?,0.641,0.766,?
abortive,?,?,0.672,?
abscess,?,?,0.438,?
absence,?,0.396,0.547,?
absent,?,?,0.438,?
absentee,?,?,0.348,?
absolution,?,?,?,0.306
abundance,?,?,?,0.652
abundant,?,?,?,0.516
abuse,0.812,0.672,0.625,?
abysmal,?,?,0.742,?
abyss,?,0.578,0.594,?
acceptances,?,0.203,?,?
accident,?,0.75,0.516,?
accidental,?,0.438,?,?
accolade,?,?,?,0.586
accompaniment,?,?,?,0.179
accomplish,?,?,?,0.5
accomplished,?,?,?,0.672
accomplishment,?,?,?,0.594
accursed,0.588,0.594,0.697,?
accusation,0.51,?,?,?
accused,0.641,0.469,?,?
accuser,0.47,0.438,?,?
accusing,0.779,0.484,?,?
ache,?,?,0.531,?
achieve,?,?,?,0.641
achieved,?,?,?,0.5
achievement,?,?,?,0.712
aching,?,?,0.544,?
acrobat,?,0.266,?,0.162
actionable,0.394,?,?,?
adder,0.212,0.547,0.361,?
adjudicate,?,0.297,?,?
admirable,?,?,?,0.562
admiration,?,?,?,0.734
admonition,?,0.469,?,?
adorable,?,?,?,0.609
adoration,?,?,?,0.688
adore,?,?,?,0.667
adrift,?,0.328,0.328,?
adultery,?,?,0.566,?
advance,?,0.188,?,0.375
advent,?,?,?,0.152
adventure,?,?,?,0.47
adventures,?,?,?,0.391
adversary,0.545,?,?,?
adverse,0.609,0.352,0.281,?
adversity,0.47,0.418,0.484,?
adverts,0.197,?,?,?
advocacy,0.1,?,?,0.25
aesthetics,?,?,?,0.455
affection,?,?,?,0.647
afflict,?,0.562,0.789,?
affliction,?,0.557,0.645,0.103
affluence,?,?,?,0.391
affront,0.403,0.266,0.359,?
afraid,?,0.844,?,?
aftermath,0.359,0.469,0.5,?
aga,?,0.219,?,?
aggravated,0.703,?,?,?
aggravates,0.719,?,?,?
aggravating,0.75,?,0.5,?
aggravation,0.672,?,?,?
aggression,0.702,0.609,?,?
aggressive,0.667,0.703,?,?
aggressively,0.68,?,?,?
aggressor,0.656,0.812,?,?
agh,0.281,?,?,?
aghast,?,0.641,?,?
aghhh,?,0.438,?,?
agitated,0.63,?,?,?
agitation,0.68,?,?,?
agonizing,?,0.703,?,?
agony,0.465,0.75,0.9,?
agoraphobia,?,0.688,?,?
ahhh,?,0.125,?,?
ahhhhhhhh,?,0.312,?,?
ail,?,?,0.469,?
ailing,?,0.547,0.656,?
alarm,?,0.688,?,?
alarming,?,0.656,?,?
alas,?,?,0.302,?
alcoholism,0.338,0.5,0.609,?
alertness,?,0.216,?,?
alerts,?,0.276,?,?
alien,?,0.422,?,?
alienate,0.485,?,?,?
alienated,?,?,0.727,?
alienation,0.576,0.609,0.685,?
alive,?,?,?,0.531
allegation,0.531,?,?,?
alliance,?,?,?,0.368
alligator,?,0.727,?,?
allsmiles,?,?,?,0.828
allure,?,?,?,0.453
almighty,?,?,?,0.516
aloha,?,?,?,0.484
alone,?,?,0.6,?
alreadyyyyy,?,0.14,?,?
altercation,0.729,?,?,?
amazingly,?,?,?,0.703
